timestamp,open,high,low,close,volume
20181228,122500,123000,120500,122000,322665
20181227,120500,123000,118500,122500,371637
20181226,121000,122000,117500,119000,275517
20181224,122000,124500,121000,123000,278884
20181221,127000,127000,121000,121500,507653
20181220,125500,128000,123500,127000,364624
20181219,123000,128500,122500,127500,385472
20181218,120500,124000,120000,122000,342972
20181217,124000,124000,120500,122000,294847
20181214,123500,124000,121500,123500,259268
20181213,125500,125500,123000,124000,972556
20181212,124000,126000,122500,124500,490812
20181211,120000,123500,117500,123000,506349
20181210,119000,121500,117500,119000,376421
20181207,121500,123500,119500,121000,565663
20181206,123000,124000,119500,120000,445309
20181205,124500,127000,123000,125000,308805
20181204,127500,127500,122500,123500,512742
20181203,130500,130500,125000,126000,486166
20181130,131000,131000,126000,126500,801837
20181129,133000,134000,129000,130500,559552
20181128,128500,130500,126500,129000,645902
20181127,124000,129500,122500,125000,637199
20181126,115000,124500,114500,124000,805023
20181123,110000,115500,109500,114000,691736
20181122,107000,111500,107000,109500,504744
20181121,105500,107000,104500,106500,525328
20181120,110000,112000,107000,108000,693868
20181119,113000,114000,110500,111500,697289
20181116,113500,114500,111500,112500,872059
20181115,116000,116500,111500,112500,576671
20181114,115500,116500,114000,115500,335405
20181113,115500,117500,114000,116000,435937
20181112,114500,116500,114500,115000,260849
20181109,115000,118000,115000,115000,295733
20181108,118000,120000,115500,116500,404191
20181107,117500,119000,113500,115500,385827
20181106,114000,117500,113500,117000,453810
20181105,115000,115500,111500,113500,442640
20181102,111500,118500,111500,116500,1320415
20181101,113500,116500,110500,111500,805655
20181031,110500,115000,108500,114500,1016429
20181030,108000,112000,104000,110500,939865
20181029,112500,113500,109000,109500,649910
20181026,119000,119000,110000,113000,1544405
20181025,120500,121000,114000,119000,1529110
20181024,127500,129000,124500,127000,679196
20181023,129000,130000,123500,125500,822259
20181022,127500,130000,125500,129000,324730
20181019,124500,127500,124000,127500,1114452
20181018,128000,128000,123500,125000,880738
20181017,132500,134500,129500,130000,5304519
20181016,137500,138500,130000,133500,575704
20181015,138500,139000,135000,136000,642772
20181012,138000,142000,132500,142000,654013
20181011,141011,141011,141011,141011,0
20181010,141011,141011,141011,141011,0
20181008,141011,141011,141011,141011,0
20181005,136605,143415,136605,141011,427338
20181004,140210,140611,137206,139209,352955
20181002,143215,143215,137406,138007,743804
20181001,143815,144617,142413,142814,210768
20180928,143615,144016,142814,143415,486595
20180927,143215,146219,142614,142814,389490
20180921,148422,148823,144817,145218,375092
20180920,144617,147020,144617,146419,286764
20180919,145418,147020,145218,146419,276015
20180918,144216,146019,144216,145218,276844
20180917,145218,146419,144817,145818,269350
20180914,145418,146820,145017,146219,365292
20180913,147221,147221,144817,144817,513285
20180912,146219,147020,145418,146219,290644
20180911,144817,146419,144617,145418,292531
20180910,144216,146620,144216,145218,359291
20180907,146620,147221,144617,146620,322381
20180906,147421,148222,145618,146219,351927
20180905,150826,150826,145618,147421,590539
20180904,151627,151627,150025,151227,186999
20180903,150826,151227,149624,151026,155801
20180831,149624,151427,149424,150626,289331
20180830,149824,151627,149224,149424,238617
20180829,151427,152228,149824,149824,274338
20180828,154632,154632,150826,151427,232985
20180827,152829,155233,152228,154031,223404
20180824,154431,156034,151227,151827,270893
20180823,151227,154832,150626,154632,494677
20180822,149624,149824,148422,149624,239316
20180821,151026,152428,149624,149624,241243
20180820,153029,153430,150826,151227,194388
20180817,151026,153830,149824,151227,193609
20180816,150225,152829,149224,150225,569640
20180814,152228,153630,151026,151627,307553
20180813,153630,153630,150225,151227,417713
20180810,155633,156635,154231,154431,344902
20180809,150826,156034,149224,156034,664173
20180808,148623,151427,148623,150225,311942
20180807,148623,151026,147421,149023,323699
20180806,146820,149824,146419,147221,302581
20180803,144817,146419,144416,146419,533584
20180802,145818,147821,144416,145818,404278
20180801,143815,145818,143215,145818,514023
20180731,145418,145818,142614,143415,617493
20180730,149624,149824,145418,146219,542516
