,open,high,low,close,volume
20181228,3940,4020,3940,3960,52607
20181227,3845,4040,3845,3940,116101
20181226,3810,3920,3810,3840,82124
20181224,3965,4030,3890,3890,142567
20181221,4100,4170,3940,3940,203228
20181220,4185,4185,4090,4125,98389
20181219,4170,4190,4090,4145,54447
20181218,4090,4190,4075,4165,104119
20181217,4150,4215,4050,4060,66922
20181214,4065,4135,4050,4115,106732
20181213,4015,4095,3995,4065,126224
20181212,3970,4055,3970,4050,85633
20181211,3905,4080,3855,3970,103148
20181210,3780,3930,3780,3915,62414
20181207,3950,4010,3885,3890,86822
20181206,3985,4015,3850,3970,59667
20181205,3950,4010,3925,3955,64273
20181204,4000,4000,3935,3950,65191
20181203,3950,3990,3915,3970,83084
20181130,3925,3995,3890,3940,115914
20181129,3885,4015,3885,3925,154525
20181128,3855,3900,3820,3880,48707
20181127,3835,3885,3810,3825,35696
20181126,3750,3855,3730,3855,51902
20181123,3935,3935,3760,3770,73238
20181122,3865,3940,3855,3900,53463
20181121,3905,3910,3825,3875,40988
20181120,3895,3950,3860,3905,56323
20181119,3785,3925,3785,3925,79029
20181116,3675,3860,3635,3855,116538
20181115,3595,3695,3595,3685,100196
20181114,3510,3620,3510,3580,121270
20181113,3570,3630,3560,3560,212046
20181112,3780,3795,3695,3700,124590
20181109,3820,3855,3775,3780,71425
20181108,3845,3880,3805,3825,124735
20181107,3800,3910,3755,3770,133335
20181106,3810,3825,3730,3825,69956
20181105,3800,3820,3715,3775,95788
20181102,3730,3850,3730,3795,114047
20181101,3680,3795,3665,3740,96259
20181031,3750,3840,3675,3700,167708
20181030,3730,3990,3730,3800,129315
20181029,3870,4000,3765,3805,134692
20181026,4030,4050,3850,3910,153437
20181025,4000,4050,3985,4045,93174
20181024,4015,4085,3965,4055,117565
20181023,4090,4115,3970,3970,190374
20181022,4065,4125,4065,4085,83972
20181019,4015,4110,4015,4060,97416
20181018,4025,4070,4020,4035,66037
20181017,4100,4120,4045,4045,64120
20181016,4100,4125,4055,4060,72306
20181015,4090,4150,4030,4065,95673
20181012,4070,4100,4055,4085,129823
20181011,4055,4275,4050,4070,231351
20181010,4300,4340,4195,4225,143767
20181008,4310,4350,4285,4290,135655
20181005,4395,4405,4315,4350,115727
20181004,4480,4540,4370,4390,185434
20181002,4505,4550,4480,4480,136451
20181001,4555,4585,4520,4530,63862
20180928,4585,4625,4525,4565,108037
20180927,4530,4575,4495,4570,119628
20180921,4550,4570,4505,4530,89422
20180920,4520,4550,4490,4495,95415
20180919,4515,4555,4490,4545,75723
20180918,4580,4580,4490,4520,170593
20180917,4735,4735,4565,4580,144901
20180914,4550,4700,4550,4655,287902
20180913,4540,4540,4480,4480,76116
20180912,4555,4590,4500,4505,158688
20180911,4540,4600,4540,4570,75305
20180910,4570,4645,4565,4600,74059
20180907,4580,4620,4545,4620,110363
20180906,4555,4610,4530,4530,131740
20180905,4550,4630,4550,4570,65740
20180904,4550,4600,4535,4575,59544
20180903,4505,4585,4500,4560,126531
20180831,4570,4570,4500,4520,149474
20180830,4580,4615,4530,4530,168284
20180829,4650,4660,4575,4580,156723
20180828,4585,4685,4585,4635,57137
20180827,4725,4725,4605,4625,113558
20180824,4720,4750,4635,4700,95332
20180823,4740,4780,4725,4725,74542
20180822,4735,4780,4725,4760,66154
20180821,4795,4820,4745,4760,50677
20180820,4795,4800,4745,4795,78474
20180817,4750,4810,4740,4750,70276
20180816,4780,4790,4650,4760,89521
20180814,4705,4795,4705,4775,49040
20180813,4805,4845,4695,4770,92205
20180810,4840,4850,4795,4830,100416
20180809,4810,4840,4710,4825,80437
20180808,4730,4845,4730,4810,83989
20180807,4785,4820,4725,4760,76212
20180806,4760,4855,4760,4815,108657
20180803,4695,4785,4655,4760,179709
20180802,4760,4795,4685,4685,120437
20180801,4715,4795,4660,4760,200251
20180731,4625,4705,4590,4685,149328
20180730,4675,4675,4570,4660,98663
20180727,4600,4680,4590,4650,151244
20180726,4590,4625,4560,4585,76965
20180725,4505,4660,4500,4575,211285
20180724,4430,4500,4420,4495,94454
20180723,4410,4505,4410,4420,109602
20180720,4465,4480,4415,4415,138102
20180719,4455,4530,4430,4435,160611
20180718,4590,4590,4465,4465,275227
20180717,4620,4650,4565,4590,153925
20180716,4510,4655,4510,4615,259112
20180713,4660,4665,4550,4565,517959
20180712,4790,4790,4600,4660,729909
20180711,5670,5680,4745,4750,4282100
20180710,4550,4680,4530,4535,90209
20180709,4600,4675,4550,4550,113975
20180706,4430,4665,4430,4600,92753
20180705,4385,4475,4380,4455,73124
20180704,4505,4520,4440,4440,154333
20180703,4565,4620,4500,4530,132016
20180702,4620,4640,4565,4590,99831
20180629,4600,4650,4550,4570,125263
20180628,4615,4630,4585,4600,77921
20180627,4570,4635,4565,4580,87121
20180626,4615,4650,4570,4645,81075
20180625,4575,4675,4575,4635,56710
20180622,4580,4675,4545,4570,90741
20180621,4640,4640,4570,4615,65334
20180620,4755,4800,4570,4645,130376
20180619,4850,4935,4740,4750,164910
20180618,4955,4970,4875,4930,100948
20180615,4840,4955,4835,4955,153253
20180614,4970,4970,4815,4815,181226
20180612,4905,5000,4890,4975,190574
20180611,4920,4950,4875,4930,110546
20180608,4885,4940,4870,4920,97769
20180607,4875,4955,4845,4920,123897
20180605,4945,4945,4805,4910,108850
20180604,4835,4965,4835,4945,262782
20180601,4550,4845,4550,4835,287096
20180531,4600,4605,4500,4590,323834
20180530,4610,4625,4530,4570,290821
20180529,4620,4660,4605,4610,164481
20180528,4720,4730,4650,4660,178796
20180525,4775,4780,4650,4720,299390
20180524,4795,4840,4775,4775,139699
20180523,4855,4860,4785,4790,222657
20180521,4895,4900,4845,4855,131172
20180518,4890,4920,4870,4890,143915
20180517,4910,4940,4880,4900,114898
20180516,4900,4925,4880,4915,207943
20180515,4945,4970,4910,4915,194077
20180514,4980,4990,4940,4955,123198
20180511,4960,4990,4940,4960,80381
20180510,4910,4970,4885,4960,160779
20180509,4985,4985,4900,4905,255905
20180508,5000,5040,4930,4940,181599
20180504,5000,5020,4955,4960,151341
20180503,5000,5060,4990,5020,190692
20180502,5050,5150,4995,5020,253218
20180430,4970,5050,4930,5050,261115
20180427,4960,5000,4935,4940,162741
20180426,5000,5000,4935,4940,230200
20180425,5020,5060,4940,4940,175627
20180424,4980,5080,4980,5050,181179
20180423,5050,5070,4930,4980,169151
20180420,5110,5130,5030,5080,177594
20180419,4945,5110,4895,5090,444581
20180418,4890,4965,4890,4935,154198
20180417,4895,4925,4895,4910,137199
20180416,4940,4950,4900,4910,98276
20180413,4940,4975,4900,4940,126719
20180412,4950,4990,4930,4950,94857
20180411,4940,4970,4915,4955,107508
20180410,4930,4985,4915,4945,90069
20180409,4960,4995,4925,4960,97193
20180406,4985,4985,4905,4955,123179
20180405,5000,5000,4925,4960,114544
20180404,5000,5040,4915,4960,159437
20180403,4920,5000,4885,4970,147516
20180402,4950,5010,4910,4920,146092
20180330,4940,4975,4920,4965,125990
20180329,4965,5000,4935,4945,123439
20180328,4980,5010,4950,4985,159380
20180327,5010,5040,4975,4980,169529
20180326,5010,5070,4910,5010,138983
20180323,4910,5050,4910,5010,288877
20180322,5080,5160,5000,5020,194653
20180321,5060,5140,5060,5080,123800
20180320,5050,5100,5040,5060,120491
20180319,5030,5080,5030,5070,179046
20180316,5100,5120,5050,5050,135088
20180315,5060,5100,5020,5100,141343
20180314,5130,5140,5060,5070,216205
20180313,5180,5200,5130,5140,138188
20180312,5200,5220,5110,5180,201060
20180309,5060,5220,5060,5190,236279
20180308,5010,5110,5010,5110,159930
20180307,5130,5180,5030,5040,271736
20180306,5100,5210,5100,5130,142328
20180305,5200,5270,5110,5130,218661
20180302,5380,5460,5180,5230,269810
20180228,5500,5570,5380,5410,233498
20180227,5490,5600,5440,5540,142946
20180226,5580,5620,5490,5500,150954
20180223,5610,5620,5540,5570,132894
20180222,5630,5660,5560,5600,127042
20180221,5700,5700,5650,5670,151292
20180220,5770,5780,5620,5670,119541
20180219,5700,5770,5660,5770,148941
20180214,5690,5740,5580,5650,212967
20180213,5700,5820,5680,5690,223309
20180212,5930,5940,5660,5730,391662
20180209,5520,5880,5430,5870,538939
20180208,5570,5680,5510,5620,179654
20180207,5730,5740,5550,5580,198655
20180206,5550,5670,5520,5650,370715
20180205,5860,5900,5690,5710,272165
20180202,5890,5950,5850,5920,210714
20180201,5900,5940,5810,5860,234747
20180131,5810,5930,5640,5880,459561
20180130,6010,6060,5810,5830,366132
20180129,6000,6160,5960,5990,468995
20180126,5950,6070,5820,5980,417884
20180125,5930,6060,5890,5940,679118
20180124,5660,5910,5630,5900,770236
20180123,5640,5730,5520,5610,501396
20180122,5400,5770,5380,5620,964278
20180119,5300,5350,5280,5330,243328
20180118,5390,5410,5270,5300,231981
20180117,5340,5400,5270,5400,150822
20180116,5390,5430,5310,5380,203897
20180115,5390,5460,5280,5370,249256
20180112,5460,5520,5320,5330,266248
20180111,5500,5590,5430,5460,345349
20180110,5350,5510,5280,5490,705327
20180109,5150,5300,5130,5300,181792
20180108,5210,5220,5150,5160,143277
20180105,5200,5230,5160,5210,79525
20180104,5200,5270,5150,5200,191372
20180103,5180,5220,5130,5180,189436
20180102,5130,5230,5130,5180,149225
20171228,5050,5130,5040,5120,72100
20171227,5070,5100,4980,5070,83910
20171226,5070,5130,5060,5100,98105
20171222,5010,5090,5010,5070,85019
20171221,5050,5090,5000,5040,123175
20171220,5040,5110,5030,5050,121782
20171219,5120,5140,5040,5070,147847
20171218,5160,5200,5080,5100,180753
20171215,5040,5230,5030,5160,294299
20171214,5150,5200,4975,4975,281357
20171213,5100,5190,5080,5170,134594
20171212,5070,5140,5060,5140,104035
20171211,5150,5190,5060,5070,225223
20171208,5320,5320,5110,5140,408643
20171207,5420,5420,5250,5320,229162
20171206,5370,5510,5360,5450,262666
20171205,5250,5400,5220,5380,231948
20171204,5280,5310,5200,5270,117021
20171201,5420,5420,5230,5240,274440
20171130,5430,5430,5360,5420,184422
20171129,5380,5440,5320,5380,120976
20171128,5260,5370,5250,5350,163611
20171127,5210,5410,5210,5260,249095
20171124,5230,5280,5230,5230,104857
20171123,5190,5300,5160,5250,95118
20171122,5300,5350,5150,5150,216203
20171121,5250,5350,5230,5290,130771
20171120,5200,5290,5190,5240,96786
20171117,5270,5320,5230,5240,122382
20171116,5350,5410,5210,5320,118930
20171115,5380,5400,5320,5350,108378
20171114,5400,5400,5280,5400,86396
20171113,5280,5440,5280,5400,106541
20171110,5330,5350,5260,5340,93538
20171109,5200,5350,5190,5340,181594
20171108,5160,5220,5160,5210,127587
20171107,5240,5250,5120,5200,108725
20171106,5310,5350,5210,5220,115491
20171103,5260,5350,5240,5350,103114
20171102,5180,5250,5160,5230,94973
20171101,5220,5260,5160,5200,129500
20171031,5300,5400,5230,5260,159246
20171030,5390,5410,5280,5310,103801
20171027,5260,5440,5260,5390,135334
