index,open,high,low,close,volume
20180626,106500,107500,104000,106000,147999
20180625,108000,110500,107000,109000,109434
20180622,107000,108000,103000,107000,202122
20180621,109500,112000,107500,108000,93284
20180620,107000,112000,106000,111500,189316
20180619,109500,112500,107000,107000,90003
20180618,115000,115000,107000,111000,160434
20180615,119000,120000,114500,114500,97186
20180614,120000,120000,116000,118000,134751
20180612,121500,121500,119000,120500,91978
20180611,119500,122500,118500,121500,95378
20180608,123000,123000,120000,120000,64740
20180607,123500,125000,122500,122500,108865
20180605,123000,123500,121000,122500,72751
20180604,124500,125000,121000,123000,77522
20180601,125500,127500,123500,125000,56582
20180531,124000,127000,123000,125500,84572
20180530,126000,127000,119000,122500,215582
20180529,130500,131500,126500,127000,89499
20180528,123000,130000,122500,129500,190713
20180525,123000,125000,121000,122000,107404
20180524,124500,126500,123000,124000,69949
20180523,123500,125000,122500,124000,73901
20180521,127000,127000,122500,123500,78068
20180518,124000,126000,122500,125500,85471
20180517,125000,125500,122000,122500,95308
20180516,122000,125000,120500,124500,89434
20180515,128000,128500,121500,123000,153548
20180514,124500,130000,123500,128000,211103
20180511,122500,129500,121500,123000,205885
20180510,119000,122500,118500,120000,160660
20180509,118000,120000,114000,116000,151419
20180508,124000,125000,118000,118000,124369
20180504,118000,127000,117000,122000,251160
20180503,116000,118500,115000,117500,67199
20180502,118500,118500,114500,117000,137280
20180430,121500,121500,115500,118500,146269
20180427,120000,126500,119500,120500,187315
20180426,116000,121500,116000,118500,115082
20180425,117500,120500,115500,116000,103837
20180424,116000,121500,115000,118000,157181
20180423,114500,117500,112000,116000,99649
20180420,117000,122000,115000,116000,110963
20180419,113000,117500,112000,117000,83136
20180418,111500,115500,111500,113500,112582
20180417,113500,113500,109500,111000,67280
20180416,114500,115000,111000,112500,49483
20180413,113000,117000,112500,114500,134976
20180412,112500,113500,111000,111500,45184
20180411,113000,115500,110500,111000,135277
20180410,110000,113500,109000,112000,72977
20180409,106500,111000,106000,109000,85651
20180406,109500,111500,107500,108500,100205
20180405,109000,112500,108500,110500,146542
20180404,106000,109000,105500,106500,71720
20180403,107500,107500,103000,104500,80154
20180402,110000,111500,107000,108000,122297
20180330,107500,109000,106000,108500,56858
20180329,104000,106500,103000,106500,48427
20180328,103000,105000,103000,104000,69388
20180327,106500,110000,104500,104500,97778
20180326,104000,106000,102500,104500,61961
20180323,105000,106500,103500,104000,101301
20180322,109500,113000,109000,109500,85256
20180321,109500,110500,108000,108500,46319
20180320,107500,110000,106500,109000,48142
20180319,111000,113000,107500,108000,45423
20180316,111500,112000,109500,112000,40188
20180315,108500,110500,105500,110000,75370
20180314,111000,111000,109000,110500,37851
20180313,113000,113000,109500,111500,72244
20180312,110000,114500,110000,114000,156485
20180309,104000,110500,103000,108000,179985
20180308,100500,103500,99500,102000,92821
20180307,102500,102500,98500,98600,59245
20180306,99800,103000,98500,101500,157172
20180305,101000,101500,97100,97500,67184
20180302,98000,101500,97000,100000,95645
20180228,102000,102500,98400,99100,99877
20180227,105000,105000,102500,103000,76970
20180226,106500,107500,103500,104000,69557
20180223,104500,106500,103500,105500,100778
20180222,106000,106000,102500,104000,80698
20180221,105000,108000,103000,107000,129271
20180220,109500,109500,103500,104500,53599
20180219,109000,111000,107500,109500,107173
20180214,105500,108500,104000,106500,64754
20180213,111000,112500,105000,105500,145710
20180212,102500,112000,102500,108500,251548
20180209,100500,106000,100500,101500,165318
20180208,101000,110500,101000,106000,164144
20180207,108500,111500,101000,101000,171851
20180206,101500,105500,96900,105000,210113
20180205,104500,109000,103000,105500,106509
20180202,112000,113500,107500,108500,95665
20180201,107000,113500,107000,111500,132845
20180131,107000,108000,105000,107000,175617
20180130,110500,112000,107500,109000,145411
20180129,111000,116000,110000,111000,110421
20180126,114000,114000,109500,111500,98610
20180125,110000,112000,107000,112000,111200
20180124,109500,113000,107500,110000,159899
20180123,105000,109000,102500,109000,174025
20180122,102500,106500,100000,103000,123120
20180119,106500,106500,102500,103500,79983
20180118,99900,107500,99300,105500,173495
20180117,102000,103000,97900,98800,125959
20180116,100000,103000,97900,101000,154123
20180115,96900,103000,96800,98900,189223
20180112,88400,95900,88100,93700,221577
20180111,89100,89700,85700,87300,102695
20180110,89400,89800,88400,89700,59374
20180109,92700,92700,88400,88700,83319
20180108,90500,91800,88800,90800,88674
20180105,88000,90700,86900,90400,951998
20180104,88600,88700,87200,87700,35763
20180103,87100,88600,87100,88000,38455
20180102,88100,88100,86000,87600,61972
20171228,86600,88000,85500,87600,50730
20171227,83500,88000,83200,85900,52291
20171226,84000,84500,82000,83200,44913
20171222,82400,84200,82400,83500,26924
20171221,84700,84700,82100,83100,35156
20171220,84900,86200,84800,84800,18923
20171219,86200,86300,84000,85500,30800
20171218,88000,88000,85000,86500,54924
20171215,85900,87900,85200,87900,78928
20171214,86500,87400,84300,85900,63373
20171213,82100,87300,82000,86600,69956
20171212,83100,83100,81300,81900,28138
20171211,82000,83100,81100,83100,31264
20171208,81700,82700,81500,81700,27020
20171207,83700,84800,80600,81700,51211
20171206,84200,84900,82400,83400,43777
20171205,82900,85300,82000,84100,63076
20171204,81600,83200,80800,82700,77437
20171201,82700,83300,80500,81000,133429
20171130,84100,84100,82000,82200,75836
20171129,85900,87100,83200,83900,97866
20171128,87000,87900,85300,85900,54002
20171127,89700,89700,86200,86700,110568
20171124,89700,91000,88300,88600,89065
20171123,88800,90300,86100,89800,121145
20171122,84800,90500,84300,88500,334491
20171121,83700,84900,82500,83500,124566
20171120,84000,86300,83500,83500,70429
20171117,85900,85900,82300,84300,86489
20171116,87200,87300,84200,85000,132088
20171115,80600,87200,80300,87000,265573
20171114,80000,82200,78300,80600,184403
20171113,75000,84200,75000,81300,324329
20171110,74400,75000,73200,74800,90984
20171109,71900,74800,71800,74500,126393
20171108,72000,72200,71200,71900,48000
20171107,71500,72500,71000,72400,58868
20171106,71600,72300,70900,71200,47911
20171103,72300,72700,71500,71700,53569
20171102,73500,73700,72000,72100,72597
20171101,72000,74000,72000,73000,102561
20171031,71300,71800,70500,71700,57204
20171030,72600,72700,70900,71300,63193
20171027,71500,72300,71200,72300,56389
20171026,72100,72300,71000,71500,79529
20171025,71800,72300,71400,72100,52290
20171024,71500,72000,71200,71400,65335
20171023,72300,72900,71700,72100,71384
20171020,72800,73200,72000,72200,86572
20171019,73500,74900,71600,72800,105134
20171018,75900,75900,72800,72900,88722
20171017,75000,76000,75000,75500,67797
20171016,76000,76400,74500,75200,54267
20171013,76900,76900,75300,75500,115596
20171012,73500,77000,73300,76900,166749
20171011,72300,73700,72300,73200,107235
20171010,73300,74200,72200,72700,94703
20170929,70600,72400,70100,72400,90658
20170928,69400,71200,68500,70800,107135
20170927,72800,72800,69300,69700,178648
20170926,72400,73000,71100,72600,103501
20170925,75600,77200,70300,72400,304807
20170922,78600,78900,76000,77300,93346
20170921,81800,81800,78800,78800,85562
20170920,80600,82100,80200,81800,58915
20170919,81400,81700,80400,80800,32562
20170918,78000,82200,78000,81400,96473
20170915,78800,78900,78000,78500,45668
20170914,77500,79100,76800,79100,40106
20170913,77900,78300,76300,78100,76165
20170912,78100,78600,77400,78400,49255
20170911,78400,78900,77700,78000,34251
20170908,79400,79400,77600,77700,69921
20170907,75800,79900,75800,79600,108044
20170906,79000,79100,75100,75900,106802
20170905,80500,80700,78600,79000,41009
20170904,80000,80800,79500,80300,42902
20170901,80800,82400,80800,81500,55939
20170831,81700,81700,80400,80700,41732
20170830,80900,81800,80600,81300,28142
20170829,82500,82500,80300,81100,94756
20170828,83000,83600,82000,83200,39249
20170825,81700,83300,81400,82900,51932
20170824,82500,82900,81300,82300,38783
20170823,82300,82600,80700,82100,63559
20170822,80700,82100,80600,81800,47645
20170821,83000,83000,80100,80700,71470
20170818,81800,82700,81500,82500,48698
20170817,82200,83100,81500,82500,72315
20170816,83600,84000,81600,82100,91423
20170814,81900,84700,81600,82500,88818
20170811,79500,80700,79000,80000,45667
20170810,79300,81400,79100,81000,61305
20170809,79900,80700,79600,79800,54491
20170808,81400,82000,79500,80400,80156
20170807,82100,82600,81200,81300,36264
20170804,82000,83500,81400,82100,68082
20170803,86000,86000,80700,82000,94879
20170802,85200,86300,85000,85800,67278
20170801,84900,86000,83900,85100,75830
20170731,83800,85300,80600,84900,119192
20170728,87200,87200,82500,83800,112333
20170727,87100,87800,86300,87200,60905
20170726,89200,90000,86100,87000,78110
20170725,90600,91300,88700,89600,59343
20170724,91700,91700,90100,90800,32338
20170721,90600,91400,90500,91100,46491
20170720,89900,90900,89100,90300,65858
20170719,91100,91100,88900,89200,56507
20170718,90000,91300,90000,91100,48674
20170717,91600,91600,87900,91100,140770
20170714,91900,92200,91000,91800,50351
20170713,91700,92200,90700,92200,84505
20170712,92800,92900,90600,91100,36698
20170711,90000,92700,89700,92700,54652
20170710,91200,91300,89600,90300,44772
20170707,91000,91400,90000,91100,31918
20170706,91900,92000,90400,91300,32499
20170705,92000,92500,91000,91900,38336
20170704,92500,93400,91900,92500,48583
20170703,93900,93900,91600,92400,44559
20170630,92400,93900,91000,93400,61427
20170629,90200,93000,90200,92800,109294
20170628,91300,91500,89400,89500,46314
20170627,91400,91600,90500,91400,44024
20170626,91600,91600,90100,91100,37869
20170623,89900,91600,89600,90900,70162
20170622,90700,91200,88600,89700,64435
20170621,90300,91500,89100,90500,44879
20170620,91700,93000,91400,92300,72897
20170619,92000,92000,90200,91000,41798
20170616,90900,92500,90100,91100,50788
20170615,92700,93200,89600,90700,56825
20170614,92100,93500,91500,92500,83668
20170613,89100,91500,89100,91500,65517
20170612,90700,92500,88600,89100,62979
20170609,89100,92000,88900,91000,96386
20170608,88000,89400,87400,88900,68586
20170607,88300,88600,86700,87400,72061
20170605,89200,89400,87700,88100,68731
20170602,85800,89700,85500,89100,125924
20170601,84500,85500,83400,85200,106031
20170531,84500,85500,84000,84000,49144
20170530,84000,85100,83400,84500,81319
20170529,86800,86900,83100,83400,181011
20170526,83400,87100,83300,86100,138894
20170525,83100,83300,82100,83000,52019
20170524,84200,84400,82200,82600,46454
20170523,83100,84000,82300,83600,59662
20170522,82700,83500,81700,82800,51539
20170519,81800,83000,81300,82600,53938
20170518,80500,81300,80400,81300,70454
20170517,83900,84200,81000,81700,87818
20170516,81300,83500,80900,83300,198088
20170515,81900,81900,80000,80800,69172
20170512,81000,82000,80900,81500,125153
20170511,80700,82100,80700,80700,95794
20170510,82000,82800,80400,80500,115804
20170508,80500,81100,80000,81100,45423
20170504,80200,82000,79900,80100,55984
20170502,79100,81000,78800,80500,63117
20170428,81000,81600,78500,79100,56227
20170427,81100,82200,80900,81200,31892
20170426,80700,83700,80700,81400,108758
20170425,78800,81700,78000,80700,102798
20170424,77300,78900,77300,78000,53499
20170421,77500,77700,77100,77300,53483
20170420,77200,77900,76600,76900,42174
20170419,78100,78900,77000,77100,77282
20170418,79600,79600,78600,78700,45474
20170417,77000,79800,77000,78800,52053
20170414,79000,79100,77200,77500,36749
20170413,78400,79600,78300,79300,41267
20170412,81800,81800,78400,78400,46063
20170411,80600,81600,80400,81000,24011
20170410,81600,81800,80300,80800,35787
20170407,82100,82800,81100,81300,31703
20170406,81400,83000,81300,82500,31786
20170405,82700,84400,81100,81900,42659
