index,open,high,low,close,volume
20181228,1490,1540,1480,1530,267355
20181227,1470,1555,1455,1490,557824
20181226,1460,1510,1440,1445,395091
20181224,1510,1585,1485,1515,878605
20181221,1925,1925,1425,1500,5710093
20181220,2065,2080,1875,1895,547189
20181219,2250,2280,1860,2070,1135358
20181218,1915,2048,1915,2035,883279
20181217,1882,2025,1868,1898,742458
20181214,2085,2118,1995,2038,871894
20181213,2102,2185,2018,2068,965248
20181212,2228,2282,2085,2085,582811
20181211,2245,2309,2208,2242,325392
20181210,2078,2435,2035,2292,1706145
20181207,2068,2135,2012,2078,913938
20181206,2255,2319,1928,2015,3368672
20181205,2836,2836,2365,2365,2538492
20181204,2749,2849,2699,2719,357679
20181203,2832,2852,2726,2779,224070
20181130,2859,2956,2702,2799,804835
20181129,2956,2956,2729,2806,482386
20181128,2822,2929,2749,2886,496282
20181127,2852,2969,2705,2812,623809
20181126,3126,3126,2712,2822,992215
20181123,3122,3169,3046,3133,659574
20181122,3072,3163,3009,3156,354250
20181121,3019,3159,2992,3102,541300
20181120,2966,3096,2942,3019,384157
20181119,2902,3062,2889,3009,386906
20181116,2876,2919,2836,2882,287853
20181115,2736,2879,2689,2876,395935
20181114,2749,2752,2625,2736,223072
20181113,2799,2832,2689,2749,286273
20181112,2732,2852,2732,2799,168570
20181109,2679,2802,2589,2749,515308
20181108,2839,2889,2685,2712,384499
20181107,2849,2932,2769,2779,480983
20181106,2939,2966,2699,2849,1613168
20181105,3216,3263,3002,3116,892919
20181102,2936,3216,2936,3193,1264067
20181101,3169,3169,2939,2972,658111
20181031,3249,3253,3002,3199,810587
20181030,3146,3266,3052,3229,1161897
20181029,3203,3236,3049,3163,993039
20181026,3026,3169,2986,3169,1630443
20181025,2936,3019,2772,3002,818531
20181024,2902,3066,2879,3002,2162035
20181023,2772,2866,2669,2826,631495
20181022,2592,2886,2555,2769,801609
20181019,2665,2665,2402,2605,491783
20181018,2585,2629,2555,2625,227248
20181017,2876,2962,2529,2582,950212
20181016,2952,3086,2802,2869,503761
20181015,2972,3069,2939,2952,529838
20181012,2702,3069,2702,2972,1790284
20181011,2702,2802,2682,2702,211121
20181010,2872,2946,2779,2819,446250
20181008,2856,2996,2856,2912,435371
20181005,2869,2982,2849,2926,599934
20181004,2746,2932,2642,2869,1243920
20181002,2542,2769,2542,2729,491747
20181001,2665,2665,2519,2552,303267
20180928,2702,2712,2579,2629,346915
20180927,2585,2692,2552,2662,364655
20180921,2682,2682,2459,2599,653738
20180920,2806,2862,2562,2599,3028201
20180919,2125,2655,2125,2469,5460284
20180918,2022,2148,2022,2125,142278
20180917,2002,2035,1942,2022,70638
20180914,2088,2108,1995,2015,198800
20180913,2135,2168,2082,2082,50026
20180912,2135,2168,2105,2135,39073
20180911,2078,2148,2068,2135,163048
20180910,2048,2108,2028,2048,93018
20180907,2112,2118,2012,2055,117026
20180906,2128,2168,2078,2112,51025
20180905,2122,2158,2102,2128,50497
20180904,2145,2158,2098,2125,65653
20180903,2152,2168,2102,2128,63971
