,open,high,low,close,volume
20140417,27520,27600,27320,27400,7241650
20140416,27400,27840,27260,27600,9308550
20140415,27720,27740,27380,27400,10969800
20140414,27300,27720,27300,27400,10586000
20140411,27240,27360,27180,27300,10659350
20140410,27380,27600,27200,27600,9999200
20140409,27880,27900,27280,27420,16061600
20140408,27740,27980,27500,27880,10608200
20140407,27940,27940,27480,27940,10761750
20140404,27540,27940,27540,27600,18400350
20140403,27020,27900,27020,27800,19098800
20140402,27000,27140,26860,27140,13100050
20140401,26900,26900,26620,26780,11081000
20140331,26900,26900,26440,26860,13259850
20140328,26400,26760,26400,26700,10648700
20140327,25800,26660,25700,26660,20877850
20140326,25380,25800,24960,25700,17444700
20140325,25380,25400,24820,24940,13625000
20140324,25200,25480,25180,25460,7073900
20140321,25380,25460,25240,25460,8321300
20140320,25400,25440,25240,25240,5939400
20140319,25600,25700,25360,25380,7638550
20140318,25400,25660,25320,25560,11045600
20140317,25500,25520,25160,25320,8820000
20140314,25400,25700,25400,25500,10836800
20140313,25880,26260,25800,25800,11750200
20140312,26400,26400,25860,25880,12579250
20140311,26400,26540,26180,26440,9079800
20140310,26400,26600,26340,26400,8657600
20140307,26780,26780,26580,26780,7548650
20140306,26580,26580,26200,26520,8616750
20140305,26700,26820,26600,26600,7491500
20140304,26400,26580,26300,26300,7900150
20140303,26720,26800,26420,26500,12104150
20140228,26740,26980,26640,26980,14232350
20140227,26700,26840,26600,26820,7891350
20140226,26740,26860,26500,26840,12918050
20140225,26640,26800,26520,26680,8785300
20140224,26680,26900,26420,26560,7425050
20140221,26660,26660,26000,26600,14346200
20140220,25800,25920,25620,25720,9543300
20140219,26000,26000,25600,25800,6179750
20140218,25700,25980,25640,25900,5910650
20140217,25840,26120,25600,25700,9386650
20140214,25920,26160,25840,26020,6220750
20140213,26000,26400,25800,25960,5838450
20140212,26620,26620,26100,26140,10027400
20140211,25620,26300,25440,26220,12684000
20140210,25420,25620,25240,25540,7799650
20140207,25500,25580,25260,25500,9943600
20140206,24900,25340,24800,25180,15197450
20140205,24900,25100,24680,24740,14926650
20140204,25260,25260,24980,24980,16033000
20140203,25720,25760,25420,25440,16259200
20140129,25600,25760,25540,25600,19181850
20140128,25460,25860,25460,25660,11701350
20140127,25860,26080,25700,25840,13346300
20140124,26000,26360,25820,26140,14001750
20140123,26320,26440,25980,25980,10336950
20140122,26280,26560,26240,26560,10826500
20140121,26300,26540,26220,26480,7562300
20140120,26100,26380,25920,26320,8682800
20140117,26020,26300,25840,25840,12774250
20140116,26000,26200,25860,26020,9752450
20140115,26600,26620,25960,25980,11747450
20140114,25940,26600,25800,26260,14716650
20140113,25660,25940,25460,25900,16449350
20140110,25500,25720,25440,25440,18189150
20140109,26140,26140,25500,25500,21250950
20140108,26000,26080,25740,25820,20474650
20140107,26000,26360,25900,26080,19763200
20140106,26060,26400,25920,26140,19735800
20140103,26000,26220,25740,25920,26496600
20140102,26960,27100,26040,26180,31025000
20131230,27920,27940,27200,27440,16908100
20131227,28200,28220,27900,27920,10510000
20131226,28160,28300,28020,28160,12307800
20131224,28600,28640,28300,28300,10980350
20131223,28740,28760,28580,28660,10639200
20131220,28260,28540,28260,28540,8407400
20131219,28360,28680,28360,28540,10552400
20131218,28100,28200,27880,28020,10899200
20131217,28340,28340,27860,27900,7762400
20131216,27820,28080,27660,28000,8954400
20131213,28200,28220,27800,27800,10053250
20131212,27920,28200,27920,28200,14962050
20131211,28520,28880,28320,28400,10629150
20131210,28820,29020,28620,28800,7755600
20131209,28800,29080,28800,29080,6996900
20131206,29080,29080,28560,28560,9147450
20131205,28660,28920,28440,28800,10479650
20131204,29000,29060,28620,28640,10844000
20131203,29280,29560,29140,29220,7798600
20131202,30000,30060,29340,29340,7487800
20131129,29980,29980,29700,29880,6752200
20131128,29600,29880,29580,29880,10644900
20131127,29340,29520,29200,29400,9351700
20131126,29160,29580,29100,29580,8586250
20131125,29020,29440,29020,29300,6615300
20131122,28820,29120,28620,29000,8574600
20131121,29440,29440,28640,28800,9019800
20131120,29460,29740,29280,29400,8178150
20131119,29660,29780,29540,29780,8183550
20131118,29400,29520,29300,29480,6386800
20131115,28680,29240,28640,29240,8339250
20131114,29100,29100,28480,28480,10132150
20131113,28900,28980,28380,28380,9995200
20131112,28800,29320,28720,29120,9784900
20131111,28500,28680,28180,28560,8563850
20131108,28220,28560,28140,28200,13681350
20131107,29020,29080,28500,28740,13006800
20131106,29960,29960,28980,29020,12218400
20131105,30040,30040,29440,29700,8009300
20131104,29840,30040,29780,29980,10887800
20131101,29800,30000,29360,30000,11357700
20131031,29960,30040,29300,29300,12647050
20131030,29700,30000,29680,30000,10588400
20131029,29800,29800,29560,29800,10334900
20131028,29300,29700,29160,29640,11307700
20131025,29000,29040,28660,28980,6735300
20131024,28620,28980,28580,28980,8915650
20131023,29280,29280,28720,28840,8598450
20131022,29200,29200,28680,29100,12353250
20131021,29500,29780,29080,29280,7126050
20131018,29440,29500,29260,29440,7852150
20131017,29200,29360,29080,29260,9099350
20131016,29380,29380,28900,29000,8010600
20131015,29000,29140,28900,29140,10023650
20131014,28960,28980,28760,28760,7373700
20131011,28800,28940,28720,28860,11254150
20131010,28420,28640,28420,28600,13819000
20131008,28340,28660,28340,28600,10546000
20131007,28740,28740,28500,28720,10228250
20131004,28760,28840,28280,28360,15753700
20131002,27960,28500,27800,28360,17586350
20131001,27600,27660,27200,27640,9773150
20130930,27320,27640,27200,27340,11650900
20130927,27500,27540,27260,27320,11613250
20130926,27280,27440,27120,27440,10374700
20130925,27340,27480,27020,27280,11176450
20130924,26840,27580,26760,27460,15138900
20130923,27300,27620,27060,27200,24362900
20130917,28400,28400,27620,27720,17181350
20130916,28460,28500,28220,28500,11710700
20130913,28180,28200,27920,28120,12281500
20130912,28100,28480,27900,28200,21805400
20130911,27960,28040,27700,28040,13353000
20130910,27380,27920,27360,27920,14717650
20130909,27420,27500,27260,27460,9291550
20130906,27400,27500,27160,27380,11937950
20130905,27400,27420,27160,27300,15100100
20130904,26600,27080,26420,26800,10920050
20130903,27280,27280,26520,26740,11798500
20130902,27360,27420,27000,27020,10081600
20130830,27200,27360,27020,27360,17135800
20130829,26340,26960,26280,26880,16315000
20130828,25680,26200,25680,26180,9492550
20130827,26140,26180,25900,26080,9130800
20130826,26020,26100,25920,26000,11519650
20130823,25600,26000,25420,25900,17203400
20130822,25000,25340,24900,25100,11984850
20130821,25300,25640,25120,25120,12346050
20130820,25920,26100,25380,25380,14230950
20130819,25720,25920,25600,25720,6499850
20130816,25720,26020,25640,25900,11416600
20130814,25780,26000,25700,26000,13005100
20130813,24880,25800,24840,25800,20929450
20130812,24600,24960,24500,24640,10140600
20130809,24580,24820,24400,24600,12080200
20130808,24260,24700,24260,24340,17910800
20130807,24740,24800,24440,24440,15778100
20130806,24900,25440,24900,25080,14493700
20130805,25660,25660,25480,25480,8079850
20130802,25860,26000,25640,25720,11241350
20130801,25700,25760,25480,25600,9058900
20130731,25600,25800,25580,25600,12735500
20130730,25540,25900,25540,25800,9425350
20130729,25820,26000,25580,25660,11821850
20130726,26280,26380,25980,26060,13619550
20130725,26340,26440,26160,26300,8495650
20130724,26140,26340,25900,26300,8772650
20130723,25460,26140,25440,26140,11948900
20130722,25600,25780,25300,25460,10351150
20130719,25760,25900,25280,25460,16271300
20130718,26500,26500,25840,25840,15704200
20130717,26020,26600,25720,26400,12302300
20130716,26360,26420,25800,25960,9300950
20130715,26300,26380,25700,26260,9629600
20130712,26400,26480,26020,26240,11391300
20130711,25020,26240,25020,26240,20788350
20130710,24900,25040,24740,24960,17305650
20130709,24600,25000,24580,24740,19694950
20130708,25000,25160,24180,24520,26480150
20130705,25720,26300,25200,25340,30382800
20130704,26040,26340,25920,26340,9042650
20130703,26680,26780,25900,26020,12822050
20130702,26800,27040,26600,26700,10214450
20130701,26680,26920,26440,26520,12825950
20130628,27000,27000,26580,26840,20961250
20130627,25900,26880,25720,26780,25756150
20130626,26020,26100,24900,25220,31751200
20130625,26020,26360,25760,25940,20774950
20130624,27000,27000,26260,26260,15847900
20130621,25880,26660,25800,26500,27677800
20130620,26860,26960,26520,26580,17817950
20130619,27640,27700,27280,27380,10270250
20130618,27360,27740,27200,27740,11043050
20130617,27400,27560,27300,27320,11758450
20130614,27300,27540,27140,27380,17558350
20130613,27600,27940,27140,27140,33509850
20130612,27560,28060,27240,27700,22887650
20130611,28220,28380,27560,27780,34613000
20130610,28400,28860,28280,28500,26677700
20130607,29500,29700,28480,28540,54290800
20130605,30980,31060,30420,30420,13590650
